市场需求统计表,,,,,,,,,,,
,,,,,,统计时间： 2016年07月01日 至 2016年07月31日,,,,,
序号,岗位类别,总需求数(人),岗位要求学历分布,,,,,,,,
,,,初中,高中,中专,大专,本科,硕士研究生,博士研究生,MBA,不限
1,,699,0,15,1,69,3,0,0,0,12
2,计算机软件,491,0,0,0,20,7,0,0,0,34
3,销售管理,2045,0,41,11,178,18,0,0,0,133
4,市场/营销,2013,0,44,14,106,13,0,0,0,71
5,销售人员,7826,4,145,23,296,8,0,0,0,311
6,计算机硬件,100,0,0,0,19,2,0,0,0,1
7,互联网开发及应用,488,0,2,4,36,3,0,0,0,41
8,IT-管理,69,0,0,0,7,0,0,0,0,1
9,IT-品管、技术支持及其它,51,0,0,1,11,2,0,0,0,1
10,通信技术,67,0,12,0,1,2,0,0,0,0
11,电子/电器/半导体/仪器仪表,98,0,0,3,12,9,0,0,0,3
12,财务/审计/税务,320,0,4,3,106,17,0,0,0,36
13,工程/机械/能源,289,0,5,2,41,6,0,0,0,5
14,人力资源,451,0,6,2,139,12,0,0,0,20
15,高级管理,19,0,0,0,6,2,0,0,0,5
16,物流/仓储,258,3,22,8,21,0,0,0,0,19
17,艺术/平面/动画设计,312,0,0,19,33,1,0,0,0,29
18,律师/法务,26,0,0,0,1,0,0,0,0,10
19,教师,308,0,0,0,17,12,0,0,0,1
20,医院/医疗/护理,164,0,0,3,12,2,0,0,0,1
21,咨询/顾问,494,0,15,0,15,6,0,0,0,5
22,交通运输服务,109,6,7,0,0,0,0,0,0,6
23,翻译,2,0,0,0,0,2,0,0,0,0
24,建筑工程/道桥/园艺,316,0,0,5,39,12,0,0,0,15
25,银行,50,0,2,2,0,0,0,0,0,0
26,行政/后勤,915,0,17,32,128,20,0,0,0,122
27,客服及技术支持,1124,0,33,6,69,7,0,0,0,35
28,证券/金融/投资,394,0,0,6,10,0,0,0,0,6
29,保险,864,0,6,0,44,11,0,0,0,10
30,生产/营运,105,0,3,4,14,2,0,0,0,6
31,质量体系/安全/环境保护,125,2,1,3,12,14,0,0,0,2
32,技工,799,5,9,4,8,4,0,0,0,84
33,服装/纺织/皮革,4,0,0,1,0,0,0,0,0,3
34,采购,67,0,5,0,10,2,0,0,0,3
35,贸易,167,0,1,0,12,4,0,0,0,2
36,生物/化工/制药/医疗器械,102,0,1,1,12,6,0,0,0,2
37,广告,32,0,0,0,7,0,0,0,0,4
38,公关/媒介,6,0,0,0,3,0,0,0,0,0
39,影视/媒体,38,0,0,0,4,2,0,0,0,6
40,文字/媒体/写作,10,0,0,0,4,2,0,0,0,0
41,房地产,563,0,6,8,24,0,0,0,0,20
42,物业管理,374,0,0,0,8,0,0,0,0,36
43,餐饮/娱乐,324,0,2,0,16,0,0,0,0,42
44,酒店/旅游,18,0,3,0,3,0,0,0,0,3
45,美容/保健,64,0,3,0,0,0,0,0,0,11
46,百货/连锁/零售服务,415,2,6,2,13,0,0,0,0,17
47,保安/家政/其他服务,61,0,0,0,0,0,0,0,0,9
48,毕业生类,408,0,7,1,23,8,0,0,0,9
49,其他,785,5,8,3,97,13,0,0,0,48
总体情况【招聘单位总数：415　　招聘职位总数：3819　　 招聘人数总数：24829】,,,,,,,,,,,
